Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,7,1,0.16,0.208,0.184,15,180.0,5.18026163584018,3.5370555169805487,0.0019651067800595277,2.6928461062058457,0.00047013936193123667,3.573659696671011,0.00048158642481649637,2.6877495777362355,0.00011526730684008204
Q3p85_W2p62_t0p21,6.39566,10.557302,7,2,0.208,0.226,0.217,15,180.0,7.335123077412542,3.6467685229215676,0.002486019864626661,2.666132815666594,0.0006236769930161196,3.6888760875866806,0.0005444884742587152,2.6588995999654,0.0001384809284783762
Q3p85_W2p62_t0p21,6.39566,10.557302,7,3,0.226,0.264,0.245,15,180.0,8.64071861548655,3.7457026518418894,0.001813619937868681,2.6419528275484607,0.0004597748671656758,3.793286417240092,0.0003894355557562747,2.632216030559692,0.00010158393089721271
Q3p85_W2p62_t0p21,6.39566,10.557302,7,4,0.264,0.302,0.283,15,180.0,10.612680012016616,3.827487983535011,0.002186746129735014,2.6216161674814105,0.0005494954030889297,3.889752224659747,0.00045356297416219207,2.6074473091032586,0.00011727788380301676
Q3p85_W2p62_t0p21,6.39566,10.557302,7,5,0.302,0.35,0.326,15,180.0,12.838415506959082,3.8752505767453616,0.002405985546683354,2.609511732805011,0.000600517710570093,3.940905802133571,0.0004884230937605945,2.594543143132955,0.00012492638147534627
Q3p85_W2p62_t0p21,6.39566,10.557302,7,6,0.35,0.408,0.379,15,180.0,15.353160452182122,3.9063786685249338,0.0028489634763315323,2.6026142037059263,0.0007121962972666877,3.9749856323807182,0.0005590732396722885,2.5863450541890924,0.0001426539967256857
Q3p85_W2p62_t0p21,6.39566,10.557302,7,7,0.408,0.5,0.454,15,180.0,18.333187930719422,3.951586947520142,0.003474985735290253,2.59205721645686,0.0008613667164508184,4.034803091084234,0.0007577079849002543,2.57150082069158,0.00019172268449296715
