Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,7,144,168,0.8309926626613362,0.0788812785966205
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,8,168,192,0.732034950321009,0.07052222844158612
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,9,192,216,0.756402557419901,0.07436249371215566
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,10,216,240,0.822183580036487,0.07313500453746764
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,11,240,264,0.8625972765302931,0.07127007464488591
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,12,264,288,0.9357258375491563,0.08393399584296979
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,13,288,312,0.9302803833067839,0.07930538560239812
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,14,312,336,0.961707733460943,0.08782671658643942
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,15,336,360,0.9297280606839332,0.09519198459123397
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,1,0,24,1.0913010220267647,0.10522713003409825
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,2,24,48,1.1436456769952967,0.09493458760691498
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,3,48,72,1.0299665396014428,0.07751786510726814
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,4,72,96,1.1318136255499855,0.08036093096841272
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,5,96,120,0.9496822111724854,0.06738951353339696
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,6,120,144,0.9690636757404709,0.07859408195020967
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,7,144,168,0.8674681975664296,0.08098957809960758
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,8,168,192,0.7603294943548624,0.09122286947148736
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,9,192,216,0.71259481823714,0.07304563844093252
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,10,216,240,0.9352416774499119,0.07495887235347024
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,11,240,264,0.9741204296694305,0.06898408971978104
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,12,264,288,1.047114077814485,0.07438441104810362
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,13,288,312,1.095124683675434,0.08118263508673966
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,14,312,336,1.0578700018211715,0.09011006101349546
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,15,336,360,0.9611929199734159,0.09934309604639031
