rate_Coin,CoinBlocking_Corr,CoinBlocking_err
2036.53003886268,0.977597902504212,0.003099989340287
2046.53855301902,0.977760979872303,0.002961364380173
1205.14605853883,0.982927734326981,0.002345265944953
582.846329439761,0.988531721902875,0.001705907724756
581.853666021306,0.988573015040609,0.001709410655079
397.038569174284,0.990840377567566,0.001378156563207
396.665794187924,0.99077376633494,0.001481496147208
395.051745113522,0.990944463904117,0.00142006931645
244.77527328499,0.992634620912956,0.001216932389517
245.297540606031,0.992936753266162,0.001247588457584
244.135947503455,0.992951208189792,0.001162412939914
245.267829281654,0.993062595829179,0.001241485371655
130.526441654771,0.995375534194729,0.000890449463905
130.177212041702,0.994952840819839,0.000991099961552
130.371825806913,0.995038036845682,0.000931686406487
129.777724902407,0.995231773349366,0.000880169343961
130.662914635774,0.995367938905008,0.000952594942001
