rate_SHMS,yieldRel_COIN_track,uncern_yieldRel_COIN_track
655810.164631886,0.972864014062407,0.005424276314356
654436.559007975,0.971079742874373,0.005407473689685
655389.825951227,0.985421128582463,0.005430217179141
533758.010247685,0.984711444372243,0.004074141263256
533587.235881186,0.971835513805225,0.00407049060579
533398.719407261,0.959977655401834,0.004046511828146
522949.844876286,0.973272046820165,0.003967586281943
384419.808098526,0.976113953668122,0.002821389055543
383621.845648553,0.984037048644852,0.002814670916556
383493.68894048,0.968946909805749,0.002799359920365
242315.759596947,0.961025918938782,0.001984920619564
241970.185627844,0.966794617558232,0.001978938621712
242797.029290384,0.984498100032646,0.001986580837547
242925.682199737,0.972981892653508,0.00198809849946
242761.654481632,0.975710848954889,0.002005356539938
243083.757054667,0.988388353803462,0.001984744635771
175789.714551829,1,0.001725444003087
176054.19883035,0.968948866098873,0.001727365750686
175952.433914278,0.976950781485964,0.001725002549419
175746.183967479,0.974944835240813,0.001726418038469
176195.155933142,0.986688922774225,0.001727691247596
176481.023673001,0.973043778143809,0.001727756331748
176349.885790654,0.963857935746836,0.001733834274008
176547.787149856,0.985879330609303,0.001731564913864
176772.971251396,0.973697989235561,0.001727233543919
