rate_SHMS,SHMS_track,SHMS_track_uncern
290375.058920126,0.9938,0.0004
1124010.66531684,0.9931,0.0004
1122625.64152178,0.9934,0.0005
1123933.14559995,0.9938,0.0003
920056.375597207,0.9938,0.0003
919022.642481714,0.9935,0.0005
919396.832763966,0.9942,0.0003
901862.789242628,0.9945,0.0003
665752.702466138,0.9952,0.0003
664349.264040082,0.9952,0.0002
664252.949172627,0.9958,0.0002
421309.326240858,0.9953,0.0002
420444.971770306,0.9956,0.0002
422108.1091064,0.9957,0.0002
422112.168994929,0.9959,0.0003
422087.789453693,0.9958,0.0002
422563.707497749,0.9958,0.0002
306076.762501856,0.9962,0.0002
306610.180438419,0.9963,0.0002
306384.797791335,0.9959,0.0002
305650.615404965,0.9962,0.0002
306972.144190597,0.9959,0.0002
306698.173917994,0.9959,0.0002
306970.05441442,0.9956,0.0002
307338.013276286,0.996,0.0002
