rate_Coin,TLT,EDTM Uncer
2036.53003886268,0.888247184522091,0.005680714863675
2046.53855301902,0.89255873390347,0.003249832941083
1205.14605853883,0.9177372341574,0.002107224581231
582.846329439761,0.942273471421454,0.002027052582518
581.853666021306,0.950406558699012,0.001825559802057
397.038569174284,0.957354564086394,0.001833470494973
396.665794187924,0.956590495769748,0.001852672493692
395.051745113522,0.95702005730659,0.001903183851447
244.77527328499,0.965356016223524,0.001396980257733
245.297540606031,0.965145659928656,0.001609423887315
244.135947503455,0.963884966931708,0.001638211167797
245.267829281654,0.964707761098691,0.002374012894813
130.526441654771,0.975680334934121,0.001223655148033
130.177212041702,0.974961607798624,0.00129297701349
130.371825806913,0.979988765622806,0.001185363222591
129.777724902407,0.97657779277759,0.001257369963564
130.662914635774,0.977139014960498,0.001386150823875
