rate_HMS3-4,yieldRel_COIN_track,uncern_yieldRel_COIN_track
123640.930665796,0.95075470889955,0.002442570286964
123811.52707018,0.947584037875147,0.00240146018883
92917.9365394283,0.959970998060601,0.002019627228647
62064.747210118,0.97495801301993,0.001698102150152
61988.9887949766,0.980446764484575,0.001696734198346
49704.2218392627,0.993593234799503,0.001597556990433
49668.7833487754,0.98488453462256,0.001597476004388
49660.1227265556,0.982371866334086,0.001597795114325
37245.7743975061,0.991002252050381,0.001512106335517
37275.263102593,0.993604968866393,0.001514495184036
37224.1276808552,0.978832673738192,0.001514529519034
37390.4219809097,0.998834750635206,0.001528361572922
24873.73026417,0.995668064252742,0.001451818733397
24908.522687182,1.01069876103771,0.001454276991931
24898.3339756217,0.986769720157314,0.001454914060724
24847.1398978043,1,0.001453352489228
24915.558195272,0.995962243383428,0.001457145589482
