rate_COIN,TLT,EDTM Uncer
909.407804057673,0.89987885081343,0.002943466831377
905.913070214224,0.895609089355886,0.002986256328882
908.197618166316,0.898321956769056,0.003802543218749
619.354805618698,0.912352255701681,0.00270101227561
618.404611601938,0.914646348033556,0.002563045609997
599.849416188541,0.921722113502935,0.004125606862581
594.728707350007,0.909916201117318,0.00323799528474
342.587766495592,0.935630850799437,0.002309230364471
340.865515720487,0.936270388431142,0.002314763729265
340.422826352318,0.933988550585136,0.001828719352326
157.070245410153,0.959663449641178,0.001824081859894
156.647412497983,0.957983193277311,0.001694281173415
157.680290014128,0.957134214847464,0.001924730572234
158.139925335207,0.958033892289948,0.001929603688309
158.067979427572,0.955197867541521,0.002143176641416
157.448371283353,0.961634129795734,0.001700537298964
96.4119711677354,0.964842087341449,0.001730007783511
95.667504735919,0.96907032712363,0.001660391836188
96.1749015605752,0.969383057090239,0.001532764299834
95.8460786058731,0.968356583872065,0.001640634699046
96.8562461606765,0.967210372229193,0.00165612629638
96.5173720580667,0.967289331672893,0.001647939663037
96.3196713431484,0.969889560325068,0.00177120233382
96.4343132505915,0.970212765957447,0.001642223372315
96.6813959999479,0.969419677772564,0.001546513368785
