rate_Det,yieldRel_COIN_track,uncern_yieldRel_COIN_track
689975.891090972,0.986787941020533,0.005178095410076
688561.588254395,0.991755411746606,0.005257312648399
689563.914591989,1.00220783336306,0.005880626099344
561318.601145066,1.00667265905349,0.004505994264744
561150.797094403,0.991895897393453,0.004373794927579
560026.353694647,0.97398422643602,0.005658553425032
549935.299205846,0.997726361832635,0.004910481161229
404050.061856331,0.991237545174491,0.003627468171444
403215.119140407,0.999033429155656,0.00359901831368
403081.642593001,0.985825563389895,0.003272192529692
254582.008928817,0.963421238590055,0.002827975271788
254219.829852838,0.970600044813631,0.00277158896229
255082.832898383,0.989253214981748,0.002908791195559
255220.467229244,0.976967840872936,0.002849136387226
255050.079252886,0.982078754830501,0.003074994937264
255388.142470625,0.989845564503491,0.003991459550789
184646.64751265,1,0.00256620004164
184926.75320096,0.965427651843241,0.002502853725218
184819.807856415,0.97281540478095,0.002454807878913
184610.40782581,0.971833136955214,0.002532361574906
185082.734329219,0.985335859951899,0.002519339614281
185380.708522461,0.970583742830174,0.002486857168942
185248.425282548,0.960084124080461,0.00258456097596
185454.795406421,0.979952517579542,0.002505850065367
185684.417854387,0.968804187445738,0.002445121690449
