rate_HMS3-4,HMS_track,HMS_track_uncern
103107.567204086,0.9973,0.0001
189697.46992225,0.9974,0.0001
189096.897295044,0.9973,0.0001
189866.856473664,0.9975,0.0001
153948.959150784,0.9974,0.0001
153920.022082598,0.9975,0.0001
152667.156051595,0.9976,0.0001
150709.182347756,0.9977,0.0001
110397.541994965,0.9977,0.0001
109897.119121684,0.9977,0.0001
110093.409229993,0.9979,0.0001
69412.3345718713,0.9979,0.0001
69221.5709871424,0.9979,0.0001
69487.4329588427,0.9979,0.0001
69545.4998644368,0.998,0.0001
69299.7392424161,0.9979,0.0001
69561.2662843885,0.9979,0.0001
50314.9812362527,0.9978,0.0001
50332.6815423618,0.9979,0.0001
50296.3543939786,0.998,0.0001
50301.7730173562,0.9981,0.0001
50413.2615497631,0.9979,0.0001
50248.1010375621,0.9978,0.0001
50430.5802226795,0.9979,0.0001
50537.5523626005,0.9978,0.0001
