rate_Det,yieldRel_COIN_track,uncern_yieldRel_COIN_track
639900.993353153,1.01079597444185,0.009598508295362
640718.185690017,1.00775912334773,0.009635296381144
482781.620572761,0.993245051169127,0.005714646501184
323753.452841697,0.988915759915903,0.003050851304808
323455.32284921,0.994451897167066,0.003046437989016
259733.390095286,1.00193517382497,0.002344901056988
259725.422444911,0.993141727730334,0.002343651702903
259382.717045285,0.990557769060953,0.002338705542904
195174.696177888,0.994565236350678,0.001842735103721
195254.965683869,0.997193593375883,0.001845989579091
195092.255308346,0.982332269318763,0.001843142957871
195773.657016308,1.00244133246941,0.001857309626705
130515.573143328,0.995691288107654,0.001555938864622
130676.575324141,1.01071133933899,0.001557693601828
130686.261729693,0.986787983325464,0.001558588636997
130385.35061039,1,0.001556214859772
130652.34012894,0.99598970861538,0.001561121156903
