DAQ Rate,yieldRel_COIN_track,uncern_yieldRel_COIN_track
2618.20492603607,0.972269306807232,0.005621442653088
2612.06112248888,0.970488742398834,0.005603706305502
2616.36875721451,0.984819664578197,0.005626648744219
2524.03748963131,0.984327720447795,0.004194519629613
2522.58731727103,0.971457506599008,0.004190604024576
2473.42591468592,0.959617739671423,0.004160167812828
2459.28110113151,0.972910915387025,0.004081468406919
1708.59101521533,0.975936409709612,0.002874117043898
1704.13373521588,0.983859325120228,0.002866992725113
1703.14384839963,0.968772230936395,0.002851826189285
1829.80966068886,0.960983091168226,0.002000612652635
1827.49670152754,0.966751833591632,0.001994593091391
1833.69032564394,0.984453784167921,0.002002381887628
1834.72348726058,0.972937765989028,0.002003979766152
1834.09436469695,0.975666650198913,0.002021087877638
1835.75278209977,0.988344031548633,0.002000513699851
2409.92540655277,1,0.001732238123594
2412.69739314321,0.968949395073982,0.001734047890695
2412.29262259048,0.976950951327738,0.00173176500692
2409.9754471981,0.974945239821962,0.001733128826889
2417.20700081198,0.986688601306729,0.00173453927271
2420.25326091093,0.973043702933541,0.001734556245194
2418.77751414821,0.963858000986508,0.001740582698966
2421.33702151789,0.985879314456541,0.001738338251139
2422.81842607599,0.973697796853518,0.001734058656403
