6.433058     0.679838     1   1
6.270470     0.663348     1   2
6.289398     0.688716     1   3
6.611956     0.672412     1   4
6.361191     0.722557     1   5
5.679326     0.755140     1   6
6.618264     0.861918     1   7
5.878122     0.684929     1   8
4.976380     0.623397     1   9
4.403796     0.565915     1   10
4.702212     0.568385     1   11
6.011178     0.617939     1   12
5.143347     0.544215     1   13
6.652421     0.683967     1   14
6.142709     0.652354     1   15
6.305050     0.760600     2   1
6.120801     0.744253     2   2
5.602390     0.675595     2   3
6.595044     0.832664     2   4
5.146168     0.806458     2   5
5.742962     0.767249     2   6
5.490365     0.679990     2   7
4.891138     0.607658     2   8
4.444544     0.577608     2   9
5.447385     0.752537     2   10
6.417433     0.880339     2   11
6.194219     0.718568     2   12
5.263043     0.630712     2   13
5.286303     0.651358     2   14
5.890450     0.739928     2   15
5.491689     0.558781     3   1
5.250092     0.485655     3   2
5.351465     0.478619     3   3
5.909514     0.557774     3   4
6.045010     0.623335     3   5
5.968996     0.525212     3   6
4.600605     0.412263     3   7
4.115036     0.418985     3   8
4.030460     0.402383     3   9
5.174449     0.444085     3   10
5.421663     0.550526     3   11
5.058603     0.485896     3   12
5.309796     0.459122     3   13
5.212931     0.469534     3   14
5.464953     0.495434     3   15
4.368702     0.423683     4   1
5.284940     0.461931     4   2
5.534419     0.483539     4   3
6.078845     0.566344     4   4
6.550472     0.559260     4   5
5.322329     0.513850     4   6
5.040058     0.547565     4   7
5.359667     0.516481     4   8
5.659935     0.594989     4   9
6.150086     0.521029     4   10
5.988698     0.507058     4   11
5.513337     0.508023     4   12
5.350002     0.453324     4   13
5.251050     0.466430     4   14
4.822607     0.452318     4   15
4.138324     0.386692     5   1
4.795787     0.463132     5   2
5.604476     0.496880     5   3
6.952350     0.599514     5   4
7.042643     0.568134     5   5
6.528367     0.597259     5   6
6.828428     0.779451     5   7
6.317137     0.622754     5   8
6.238651     0.615218     5   9
6.279587     0.561957     5   10
6.144438     0.511395     5   11
5.891483     0.512392     5   12
4.839279     0.412316     5   13
4.442306     0.399031     5   14
4.153309     0.418293     5   15
4.101295     0.419899     6   1
4.762833     0.431597     6   2
4.278878     0.385422     6   3
6.481700     0.562840     6   4
7.104835     0.594858     6   5
9.996694     0.902591     6   6
11.500025    1.186232     6   7
10.349431    1.212055     6   8
9.743354     1.060028     6   9
9.310185     0.846555     6   10
6.985784     0.568709     6   11
5.590097     0.502762     6   12
4.969373     0.433627     6   13
4.218544     0.405692     6   14
3.780596     0.423446     6   15
3.681735     0.427133     7   1
3.520839     0.355566     7   2
4.279277     0.368221     7   3
6.660420     0.547401     7   4
9.165556     0.750456     7   5
21.555156    2.142965     7   6
23.805108    3.484797     7   7
10.756534    2.327819     7   8
17.157667    2.835970     7   9
16.419821    1.751050     7   10
8.666142     0.727023     7   11
5.959756     0.505301     7   12
4.543772     0.384026     7   13
3.399347     0.335148     7   14
2.820838     0.353679     7   15
