1.245025     0.118862     1   1
1.278423     0.144884     1   2
1.100295     0.099734     1   3
1.042737     0.087426     1   4
0.908535     0.074813     1   5
1.064509     0.073495     1   6
1.094913     0.075289     1   7
0.996489     0.064830     1   8
1.112195     0.069963     1   9
1.029876     0.072198     1   10
1.076585     0.085748     1   11
1.063234     0.087219     1   12
0.979318     0.093889     1   13
1.018543     0.107699     1   14
1.079599     0.121428     1   15
1.116443     0.137539     2   1
1.294772     0.126804     2   2
1.148343     0.124341     2   3
1.098645     0.092537     2   4
1.009166     0.082905     2   5
1.112224     0.066900     2   6
1.095161     0.071473     2   7
1.185463     0.079823     2   8
1.134089     0.070022     2   9
1.114420     0.068730     2   10
1.251941     0.085412     2   11
0.970122     0.085125     2   12
1.160655     0.102215     2   13
1.017480     0.112737     2   14
1.148604     0.122669     2   15
1.170831     0.130659     3   1
1.177986     0.137758     3   2
1.171028     0.105650     3   3
0.979889     0.078124     3   4
1.070367     0.073634     3   5
0.967519     0.062924     3   6
1.078860     0.076282     3   7
1.140588     0.080594     3   8
1.180262     0.079443     3   9
1.126858     0.070220     3   10
1.103087     0.070761     3   11
1.115928     0.088224     3   12
1.098939     0.098624     3   13
1.204349     0.120930     3   14
0.985735     0.117181     3   15
1.321192     0.164807     4   1
1.385795     0.168000     4   2
1.166905     0.106801     4   3
0.992904     0.080865     4   4
1.136125     0.076056     4   5
1.101354     0.077193     4   6
1.170696     0.083083     4   7
1.181548     0.083666     4   8
1.346818     0.090869     4   9
1.242886     0.082461     4   10
1.126872     0.078852     4   11
1.128140     0.091485     4   12
1.296578     0.117516     4   13
1.140507     0.127660     4   14
1.292405     0.177094     4   15
1.659286     0.260723     5   1
1.631466     0.218056     5   2
1.402444     0.154407     5   3
1.221868     0.110748     5   4
1.066375     0.086546     5   5
1.088329     0.078089     5   6
1.083001     0.085796     5   7
1.175665     0.090381     5   8
1.148346     0.085979     5   9
1.152220     0.081806     5   10
1.134502     0.090147     5   11
1.117612     0.109119     5   12
1.548308     0.136546     5   13
1.593888     0.194747     5   14
2.114186     0.291618     5   15
