Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,6,0.35,0.408,10,216,240,968.0,0.0013401494175152976,4.389155904899669e-05,3.2751242865421513
Q3p85_W2p62_t0p21_loweps_center,6,0.35,0.408,11,240,264,3827.0,0.004754716040232081,7.876847412962879e-05,1.6566388710309619
Q3p85_W2p62_t0p21_loweps_center,6,0.35,0.408,12,264,288,6864.0,0.009250822903873161,0.00011342786715661912,1.2261381320912415
Q3p85_W2p62_t0p21_loweps_center,6,0.35,0.408,13,288,312,5492.0,0.008559062110418753,0.00011665044659827102,1.3628881890724343
Q3p85_W2p62_t0p21_loweps_center,6,0.35,0.408,14,312,336,2231.0,0.003877041045546753,8.276759674606039e-05,2.134813528505944
Q3p85_W2p62_t0p21_loweps_center,6,0.35,0.408,15,336,360,1266.0,0.002290243530047294,6.488039159589014e-05,2.8329036080521246
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,1,0,24,463.0,0.000881413515245273,4.112799602597715e-05,4.666140842477593
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,2,24,48,907.0,0.0016480047749217318,5.502489378449717e-05,3.338879511869767
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,3,48,72,2611.0,0.004188971383466291,8.269850947229083e-05,1.9741960949816622
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,4,72,96,2605.0,0.0035940846057272297,7.13277671761466e-05,1.984587871484291
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,5,96,120,973.0,0.0012635736936638733,4.1128931014629184e-05,3.2549689203619967
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,6,120,144,170.0,0.00023553276779520222,1.8322972117410785e-05,7.77937281887791
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,7,144,168,66.0,9.947965702103426e-05,1.2391024384881562e-05,12.455837460579069
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,8,168,192,46.0,6.42335683428479e-05,9.566641120570303e-06,14.89352275979465
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,9,192,216,58.0,8.569369106843222e-05,1.1373938425799151e-05,13.272783893409715
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,10,216,240,148.0,0.0002038841703472486,1.6929011079836162e-05,8.303249365070002
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,11,240,264,1014.0,0.0013097007953644015,4.178344483119011e-05,3.190304608432691
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,12,264,288,2651.0,0.0036497803834576706,7.181855566938412e-05,1.9677500595623731
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,13,288,312,2642.0,0.004197844218368448,8.233984502815936e-05,1.9614792913911872
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,14,312,336,831.0,0.001504141807222252,5.245843669998874e-05,3.487599137801073
Q3p85_W2p62_t0p21_loweps_center,7,0.408,0.5,15,336,360,463.0,0.0008711976713770688,4.0678861834333715e-05,4.669303324701752
