Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,7,144,168,720.0,0.06053451291145953,0.0023009699587266154,3.8010877564871404
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,8,168,192,561.0,0.04866862965190058,0.0020976372349817253,4.310039649739367
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,9,192,216,702.0,0.059648208933933654,0.0022975372201217144,3.851812587812094
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,10,216,240,1032.0,0.08714091714358697,0.002750915920087424,3.1568590396570944
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,11,240,264,1085.0,0.09859088713467266,0.0030238501955300316,3.067068654529428
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,12,264,288,1000.0,0.09825854117485874,0.003130113922035981,3.1855896542018662
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,13,288,312,661.0,0.06791432837564863,0.002654513141377333,3.9086201761352255
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,14,312,336,397.0,0.04155148382383976,0.0020944721634868235,5.040667554416289
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,15,336,360,328.0,0.034881228704428675,0.001934407484785709,5.545697662135703
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,1,0,24,289.0,0.027323271557116727,0.0016170119920565168,5.918076057167259
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,2,24,48,468.0,0.043486861247314774,0.0020207479555990307,4.646801120243664
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,3,48,72,834.0,0.07358135958004129,0.0025637261707759044,3.484206034528488
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,4,72,96,1086.0,0.08829931900142154,0.0027049486373799253,3.0633856160729596
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,5,96,120,1139.0,0.08261445887657479,0.002490862454232104,3.0150442042517387
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,6,120,144,700.0,0.04845216058223526,0.001891666956850334,3.904195260064221
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,7,144,168,235.0,0.01976636431573009,0.0013388974074778459,6.773614945528197
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,8,168,192,143.0,0.014028142136630058,0.0012163445701646517,8.670745978461056
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,9,192,216,212.0,0.01817764455385669,0.0012935378939272005,7.116091912209576
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,10,216,240,696.0,0.04929405790289261,0.0019198510732317256,3.894690668424494
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,11,240,264,1277.0,0.09543786982856742,0.002716818973166608,2.8466886132797806
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,12,264,288,1157.0,0.09747537050983589,0.0028989254393433214,2.9740081255200783
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,13,288,312,837.0,0.0765088859384859,0.00266530159966934,3.4836497316302264
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,14,312,336,423.0,0.039897436593282216,0.0019508973777579788,4.889781259998202
Q3p85_W2p62_t0p21_higheps_center,4,0.264,0.302,15,336,360,315.0,0.030258641227312314,0.0017144444016133802,5.665966256494934
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,1,0,24,306.0,0.027158117445672772,0.0015617551446351291,5.750601630467471
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,2,24,48,488.0,0.04227628902803397,0.0019256759356944602,4.554978641615206
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,3,48,72,948.0,0.07605376306509722,0.002489007227865915,3.272694377706836
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,4,72,96,1358.0,0.09570505890785805,0.0026333527015031328,2.7515292624587855
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,5,96,120,1202.0,0.07232322987159648,0.0021472245509540867,2.9689279015418624
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,6,120,144,336.0,0.02142847467080964,0.0012349363093313108,5.76306213252579
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,7,144,168,97.0,0.009151378714406461,0.0009464398860893979,10.342046981396093
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,8,168,192,77.0,0.007401901953831466,0.0008576805063518892,11.58729893615959
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,9,192,216,117.0,0.010852100987135637,0.001023682965617033,9.433039434765062
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,10,216,240,319.0,0.021951966681805428,0.0012929073896281655,5.889710969267155
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,11,240,264,1255.0,0.07783703167758205,0.0022688959453871916,2.914931230658247
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,12,264,288,1428.0,0.1036544512133261,0.0027788863382193327,2.680913656568635
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,13,288,312,939.0,0.0774678046464857,0.0025492016597588297,3.2906594828545632
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,14,312,336,491.0,0.04338910093795516,0.0019716315589048557,4.544071013880231
Q3p85_W2p62_t0p21_higheps_center,5,0.302,0.35,15,336,360,315.0,0.027922616823084234,0.0015815063399902552,5.6638901361235945
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,1,0,24,177.0,0.01541526492911814,0.001162532583531358,7.541437587202486
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,2,24,48,340.0,0.02846993062340465,0.0015505904258113355,5.446414486646558
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,3,48,72,960.0,0.07161145647216832,0.0023268347278756116,3.249249271699888
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,4,72,96,1481.0,0.09009697821081325,0.002375145944847756,2.6362104390341203
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,5,96,120,973.0,0.048513828878669576,0.0016263042932639987,3.3522488965595696
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,6,120,144,93.0,0.006170963460474375,0.0006719275184390457,10.888535035781807
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,7,144,168,26.0,0.0022193495276593023,0.0004380912383285546,19.739623383730795
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,8,168,192,17.0,0.001512081882808022,0.0003722510174109459,24.618443064713837
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,9,192,216,23.0,0.0019815288796373683,0.00041765245895627665,21.077283467738788
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,10,216,240,102.0,0.007749624191101949,0.0007930526065067315,10.2334330923725
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,11,240,264,887.0,0.0447151645736768,0.0015672403305422827,3.504941434264329
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,12,264,288,1506.0,0.09449544513008033,0.0024733907356330616,2.617470855053645
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,13,288,312,911.0,0.06925236978791777,0.00231045801594054,3.336287296761414
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,14,312,336,343.0,0.029293076068119175,0.0015887074373774235,5.42349131816333
Q3p85_W2p62_t0p21_higheps_center,6,0.35,0.408,15,336,360,181.0,0.01591253208485687,0.0011871373594592926,7.460392558070813
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,1,0,24,69.0,0.006187043807033433,0.0007462168943666083,12.060960252427964
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,2,24,48,205.0,0.01714581046184668,0.001200438701429441,7.001352920007426
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,3,48,72,980.0,0.07007381854342931,0.002250504374131271,3.2116194334928196
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,4,72,96,1734.0,0.09203255613586601,0.002249498274341999,2.44424187351822
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,5,96,120,637.0,0.025617732919423982,0.0010652772004616172,4.158358601880412
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,6,120,144,13.0,0.0008091522954555202,0.00023108814630896883,28.559289469589345
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,7,144,168,2.0,0.00015455143998258965,0.00010974521133964593,71.00885721414748
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,8,168,192,3.0,0.00023519474487464245,0.0001361528422965767,57.88940665708557
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,9,192,216,4.0,0.0002806557705093205,0.00014087211320285202,50.19391297289349
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,10,216,240,15.0,0.0010055325516211092,0.0002631890784638324,26.1740982964223
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,11,240,264,700.0,0.027975474996651803,0.0011071833398750292,3.9576927291048345
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,12,264,288,1791.0,0.09607549200858644,0.002309989102299851,2.404347928911364
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,13,288,312,985.0,0.07111496503627465,0.002279148660390655,3.2048791126144773
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,14,312,336,213.0,0.017965352603172394,0.0012334996784634743,6.865992033163089
Q3p85_W2p62_t0p21_higheps_center,7,0.408,0.5,15,336,360,83.0,0.007498803230633591,0.0008246644627622501,10.997280998031632
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,1,0,24,490.0,0.06693995430192827,0.003038151316409834,4.538621736588663
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,2,24,48,471.0,0.06306246799824042,0.0029214127720811668,4.632569680214039
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,3,48,72,415.0,0.05370239926077279,0.002649244105160481,4.933195055766597
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,4,72,96,338.0,0.04360327173601897,0.0023858768243700816,5.471783949641562
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,5,96,120,142.0,0.0186895905292714,0.0015782450954189885,8.444514035484946
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,6,120,144,30.0,0.004155090193416881,0.0007614122325542562,18.324806372689576
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,7,144,168,19.0,0.0027764519606202054,0.0006394821682514434,23.03235126418667
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,8,168,192,11.0,0.0016039653876590721,0.0004854499526706439,30.26561273738831
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,9,192,216,19.0,0.00278281889166783,0.00063994712930672,22.99636283276702
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,10,216,240,38.0,0.005698685692772061,0.0009321463680692502,16.357216704397995
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,11,240,264,144.0,0.01963938099712117,0.0016446941745798522,8.374470533572007
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,12,264,288,366.0,0.04838819522632643,0.002545523072973163,5.260628260812314
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,13,288,312,509.0,0.06830910045574394,0.0030448548175385005,4.4574658387006565
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,14,312,336,503.0,0.06846590910111046,0.003067929952941949,4.48095993060025
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.208,15,336,360,505.0,0.06899461351703404,0.003085843164902298,4.47258562313772
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,1,0,24,400.0,0.04759017991544765,0.0023893483812774115,5.020675243343291
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,2,24,48,342.0,0.039807973020484055,0.002161213154618111,5.429096210213999
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,3,48,72,295.0,0.03294681508648161,0.0019242450847138195,5.840458568340815
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,4,72,96,159.0,0.017270645152048625,0.0013774298610528342,7.975555336387911
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,5,96,120,29.0,0.003506427579637805,0.0006701917040994544,19.113233879157473
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,6,120,144,1.0,0.0001599907900140857,0.0001599907900140857,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,8,168,192,1.0,0.00014507817875978113,0.00014507817875978113,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,9,192,216,1.0,0.00015411046615210783,0.00015411046615210783,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,10,216,240,1.0,0.0001490487689065958,0.0001490487689065958,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,11,240,264,16.0,0.001971253399087194,0.0005025727932185571,25.495088224135863
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,12,264,288,189.0,0.020968812356171845,0.001531100801930164,7.301800292373298
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,13,288,312,324.0,0.03732262838494197,0.002081714097132774,5.57761922783727
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,14,312,336,388.0,0.04598134293720265,0.002344026126335339,5.0977765689371175
Q3p85_W2p62_t0p21_higheps_right,2,0.208,0.226,15,336,360,370.0,0.04415362560291952,0.002304146181812672,5.218475607267725
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,1,0,24,1076.0,0.11569031195183486,0.0035436771581950992,3.063071659509771
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,2,24,48,987.0,0.10345429480390994,0.0033093172490697644,3.1988205567901584
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,3,48,72,749.0,0.07488405540574714,0.0027524084335425495,3.675560062324443
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,4,72,96,358.0,0.03419546545486175,0.0018248667457476473,5.336575249009212
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,5,96,120,28.0,0.0032138039791143967,0.0006208535833962502,19.318340117536792
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,6,120,144,5.0,0.0008025234343230195,0.00035950983601999313,44.79742530176243
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,7,144,168,1.0,0.00016396279150810897,0.00016396279150810897,100.0
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,8,168,192,5.0,0.000821067604792764,0.0003691672912092811,44.96186295188912
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,9,192,216,1.0,0.00015370559044519422,0.00015370559044519422,100.0
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,10,216,240,2.0,0.0003188208555142814,0.00022549727362408477,70.728520334826
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,11,240,264,32.0,0.0038280387861957233,0.0006885863464710984,17.987966813560174
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,12,264,288,363.0,0.03669965238987718,0.00195014865993405,5.313806897179106
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,13,288,312,873.0,0.08975879914688788,0.003057518339266813,3.40637170765093
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,14,312,336,1070.0,0.11371488766890954,0.0034918202132671263,3.0706799125844055
Q3p85_W2p62_t0p21_higheps_right,3,0.226,0.264,15,336,360,1116.0,0.1213291879344855,0.0036494493398843424,3.0078906832006056
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,1,0,24,1264.0,0.12405538897726213,0.0035066884394522073,2.8267118972920566
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,2,24,48,1229.0,0.11631558578300297,0.003333069708759746,2.8655400618261795
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,3,48,72,896.0,0.07946099231295303,0.002670535990542022,3.3608137940491023
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,4,72,96,298.0,0.025018394222045017,0.0014707785371599665,5.878788718837864
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,5,96,120,5.0,0.0006582325339868982,0.00029683934662587337,45.09642585241492
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,6,120,144,1.0,0.00014353895082816357,0.00014353895082816357,100.0
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,8,168,192,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,9,192,216,1.0,0.0001097057284246148,0.0001097057284246148,100.0
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,10,216,240,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,11,240,264,16.0,0.0019501158147919948,0.0004968166928577563,25.476266029397244
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,12,264,288,332.0,0.028573363623292262,0.0015872489466697212,5.554995091217883
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,13,288,312,947.0,0.08627050285533164,0.0028200579169146926,3.2688553138999223
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,14,312,336,1318.0,0.12697618142083625,0.003516528462182859,2.769439451425976
Q3p85_W2p62_t0p21_higheps_right,4,0.264,0.302,15,336,360,1289.0,0.1272622924727544,0.0035594636859854843,2.7969507831611082
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,1,0,24,1672.0,0.15429426407156793,0.003787379613005692,2.4546470575529313
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,2,24,48,1608.0,0.14145678763601732,0.0035413269335591788,2.503469075426322
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,3,48,72,1161.0,0.0932772434659148,0.0027525334377227826,2.950916360139446
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,4,72,96,294.0,0.021598385404256022,0.0012744716418252734,5.900772756717894
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,5,96,120,4.0,0.0004548178835081874,0.00022937641114947197,50.43258400048002
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,6,120,144,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,8,168,192,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,9,192,216,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,10,216,240,1.0,0.00011758195960535684,0.00011758195960535684,100.0
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,11,240,264,3.0,0.0002699606394028504,0.0001566659861331339,58.03289934402183
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,12,264,288,329.0,0.025127982528191296,0.001407202285849976,5.600140338649248
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,13,288,312,1227.0,0.10096841599154358,0.0028998383382702058,2.872025187077389
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,14,312,336,1566.0,0.14008125248528325,0.003555128384435892,2.5379044814075953
Q3p85_W2p62_t0p21_higheps_right,5,0.302,0.35,15,336,360,1571.0,0.14559806463051414,0.0036866537509658917,2.5320760686768433
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,1,0,24,1506.0,0.13477755657767232,0.003480605126152321,2.5824812487577993
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,2,24,48,1851.0,0.15658047072365683,0.0036497726406199515,2.3309245551198416
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,3,48,72,1438.0,0.10728807068936726,0.0028427247700886188,2.6496186871690535
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,4,72,96,241.0,0.015825504184500915,0.0010286009590500403,6.49964100390195
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,5,96,120,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,6,120,144,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,8,168,192,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,9,192,216,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,10,216,240,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,11,240,264,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,12,264,288,287.0,0.01927097338023724,0.0011473226027627265,5.953630779954936
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,13,288,312,1401.0,0.10650135450210457,0.0028619021041937126,2.6871978460491395
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,14,312,336,1755.0,0.15011843170177525,0.003592995574377515,2.3934406545862053
Q3p85_W2p62_t0p21_higheps_right,6,0.35,0.408,15,336,360,1485.0,0.1335080190757969,0.0034730933665774607,2.6014118032907603
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,1,0,24,1399.0,0.12903109589527414,0.003454872722112003,2.6775504758295554
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,2,24,48,2180.0,0.18601006948079543,0.003992744888581804,2.1465208306876282
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,3,48,72,1797.0,0.1309120673449836,0.003102763681552637,2.3701128127295834
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,4,72,96,227.0,0.013662853964499342,0.0009122924813455714,6.6771736250421165
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,5,96,120,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,6,120,144,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,8,168,192,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,9,192,216,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,10,216,240,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,11,240,264,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,12,264,288,258.0,0.01581970844195339,0.0009924817160896875,6.27370421984299
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,13,288,312,1845.0,0.1344599312734737,0.0031442080606437334,2.33839778948632
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,14,312,336,2216.0,0.18985850047449473,0.004042387786002982,2.1291581761681666
Q3p85_W2p62_t0p21_higheps_right,7,0.408,0.5,15,336,360,1500.0,0.13822159308409707,0.0035736518603351995,2.585451216844904
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,3,48,72,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,4,72,96,2.0,4.0880245786449145e-06,2.9003916326959023e-06,70.94848812424007
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,5,96,120,14.0,2.489023443887106e-05,6.7009525924038575e-06,26.92201477194198
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,6,120,144,293.0,0.0004985554268484595,2.9503869944210214e-05,5.917871585655848
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,7,144,168,1280.0,0.0021511572665295115,6.088349883190366e-05,2.830267213801981
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,8,168,192,1649.0,0.0027583620892928764,6.876601706001964e-05,2.4930018189761394
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,9,192,216,1229.0,0.0020615857222107538,5.949764670991052e-05,2.8860137159908086
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,10,216,240,270.0,0.00045348263402167767,2.790917519073308e-05,6.154408812355744
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,11,240,264,5.0,9.025608893068692e-06,4.082571085747738e-06,45.23319295258838
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,12,264,288,1.0,1.7533313452086455e-06,1.7533313452086455e-06,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,13,288,312,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,14,312,336,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.208,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,2,24,48,1.0,1.8375927028320877e-06,1.8375927028320877e-06,100.0
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,3,48,72,2.0,3.6913891857750512e-06,2.6111791463893735e-06,70.73703191339672
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,4,72,96,10.0,1.946894959070751e-05,6.189877810498912e-06,31.793588974380665
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,5,96,120,115.0,0.00019665667019103946,1.8519434077470345e-05,9.417140064194056
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,6,120,144,1255.0,0.0019870738842428007,5.6841971957368736e-05,2.8605867355067716
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,7,144,168,2628.0,0.0039952897437339424,7.903668345965491e-05,1.978246598600589
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,8,168,192,2878.0,0.004356879837801713,8.234141690943383e-05,1.8899170960606442
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,9,192,216,2663.0,0.004067383110273575,7.987447593915532e-05,1.9637804891652535
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,10,216,240,1236.0,0.0019770483106836927,5.6952879751121425e-05,2.8807024817429108
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,11,240,264,106.0,0.00019093901177992477,1.87056172540163e-05,9.796645054168547
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,12,264,288,4.0,8.2790169602589e-06,4.156352164535954e-06,50.20345029473135
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,13,288,312,1.0,1.9343246968948806e-06,1.9343246968948806e-06,100.0
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,14,312,336,1.0,2.005361232770989e-06,2.005361232770989e-06,100.0
Q3p85_W2p62_t0p21_loweps_left,2,0.208,0.226,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,3,0.226,0.264,1,0,24,6.0,1.0481305283633446e-05,4.3168477592925915e-06,41.18616567760265
Q3p85_W2p62_t0p21_loweps_left,3,0.226,0.264,2,24,48,8.0,1.4043712425523342e-05,4.986325012241847e-06,35.505747064284755
