Physics Setting,Physics Yield,Physics Yield Error,SIMC Yield,SIMC Yield Error,Data/SIMC Ratio,Data/SIMC Ratio Error
Q3p85_W2p62_t0p21_loweps_center,5.386474242822851,0.33450113901182826,0.6940623546735512,0.0010616066818089035,7.760792969900166,0.4820929781786629
Q3p85_W2p62_t0p21_loweps_left,4.370556477713079,0.27477524549741117,0.4102917452882359,0.0006736469045902666,10.652313939786188,0.6699353175867133
Q3p85_W2p62_t0p21_higheps_right,26.377954371581236,2.282016191693908,6.060848820564689,0.024325955840949546,4.352188142703682,0.37692257557463515
Q3p85_W2p62_t0p21_higheps_center,27.506418903759275,2.4938551927899533,4.996000966204953,0.02112750108505466,5.505687266640706,0.49971297802189374
Q3p85_W2p62_t0p21_higheps_left,19.870166282428194,1.4099297840976348,2.2109090237297875,0.011355583768176369,8.987328772536904,0.6393834244820085
