rate_HMS3-4,yieldRel_COIN_track,uncern_yieldRel_COIN_track
166919.867108053,0.930587762975009,0.00873989110762
166293.521964249,0.934195829969272,0.008655814226806
167238.391189518,0.94007512023808,0.008336090009614
166932.330150625,0.933701156065401,0.007773255691207
84727.1666076654,0.978364424912512,0.004300024717292
42532.9470645384,0.99842230343714,0.003427775508663
42519.5167156933,0.994110178188182,0.003195020214779
25652.439934204,0.993298074144024,0.001883656788363
25632.115210187,1.0063776922912,0.002170505042888
25595.1624474532,1,0.002366027409474
126743.807906514,0.968787868081068,0.008878999805904
126409.435213817,0.95932312518789,0.005857921928142
63745.7717609562,0.986679027908808,0.003541863349539
