rate_HMS3-4,yieldRel_COIN_track,uncern_yieldRel_COIN_track
187785.785180894,0.978840887659051,0.005475713190533
151091.594145915,0.979007172910243,0.004708915631936
149947.281169784,0.994163118149533,0.004968634627226
115233.085912276,0.977742891686628,0.003809278778385
39544.0422401044,0.994129387931777,0.00241618740584
39520.4366646617,0.981690754008476,0.002436033057099
39589.6457127832,0.987351484994914,0.002314148495056
39492.2406619353,1,0.002330226688399
188116.967509494,0.969050210546014,0.005701217870934
151570.511615674,0.977152748244203,0.004921009106931
116188.514960795,0.98300125492327,0.004011742756205
