P_S1X,SHMS_track,SHMS_track_uncern
454226.950475669,0.9883,0.0052
452646.988590243,0.9898,0.0051
455077.120742222,0.9922,0.0045
454321.674560774,0.9952,0.0034
232597.553007135,0.9968,0.0022
117307.99594105,0.9912,0.0026
117128.222057352,0.9919,0.0023
70773.183840132,1,
70706.1891631463,0.9961,0.0013
70597.7369366869,0.9934,0.0016
346242.951424315,0.9843,0.007
345479.559777642,0.9975,0.0025
175181.472927338,0.9956,0.002
