H_S1X,HMS_track,HMS_track_uncern
454955.475924231,0.9933,0.0002
454699.719413942,0.9924,0.0003
452566.434233282,0.9928,0.0003
455464.808706947,0.9928,0.0008
285770.655598217,0.9934,0.0005
117807.417801595,0.9953,0.0002
365563.944440697,0.9926,0.0005
170939.209853262,0.9953,0.0003
69944.9161609754,0.9957,0.0002
