rate_SHMSS1X,SHMS_track,SHMS_track_uncern
1171206.57080515,0.9924,0.0006
946976.368738753,0.9938,0.0006
940026.787207706,0.995,0.0005
726223.44339123,0.9945,0.0004
252120.508352438,0.9963,0.0003
251950.95183961,0.9961,0.0004
252428.682836547,0.9967,0.0003
251794.727609387,0.9961,0.0003
1173606.60837178,0.9936,0.0006
951137.306109714,0.9945,0.0005
732143.843499436,0.9947,0.0004
