rate_HMS3-4,HMS_track,HMS_track_uncern
174824.969539529,0.9949,0.0004
141117.92984712,0.9951,0.0003
107800.927323558,0.9958,0.0002
71900.1703852206,0.996,0.0002
38952.0129832734,0.9968,0.0002
39014.8539232875,0.9958,0.0003
