rate_Det,yieldRel_COIN_track,uncern_yieldRel_COIN_track
458087.306727906,0.978840887659051,0.005475713190533
362759.849687655,0.979007172910243,0.004708915631936
359947.873590019,0.994163118149533,0.004968634627226
272481.666051569,0.977742891686628,0.003809278778385
90554.7916742328,0.994129387931777,0.00241618740584
90502.8780537662,0.981690754008476,0.002436033057099
90672.3805860535,0.987351484994914,0.002314148495056
90436.4619020327,1,0.002330226688399
458928.035561564,0.969050210546014,0.005701217870934
364076.353441566,0.977152748244203,0.004921009106931
274840.231840213,0.98300125492327,0.004011742756205
