rate_Det,yieldRel_COIN_track,uncern_yieldRel_COIN_track
276693.157616411,0.993560066378061,0.002685174620327
276060.199178481,0.987912592589679,0.003094017464515
276636.887339842,0.975663869973445,0.008690215384423
275922.18819885,0.983171200477148,0.003838107265325
277403.567950299,0.995949553524559,0.003137315785238
351286.557005686,0.988357567382415,0.004220584306787
204181.757992737,0.987502099118225,0.003840271837028
205321.445518374,0.99015102938552,0.002545444577894
134633.902190322,0.994733252722797,0.001923949246452
79941.1399455919,1,0.001620343694324
467069.580965704,0.987842875726219,0.0041493027678
351853.520053088,0.984970589290783,0.003829583559547
