P_S1X,SHMS_track,SHMS_track_uncern
423742.570688949,0.9942,0.0009
424067.38196574,0.9942,0.0011
419675.175064513,0.9923,0.0013
419992.03713511,0.9931,0.004
269771.374719128,0.9952,0.0014
109288.094858578,0.9949,0.0011
347991.425516574,0.9964,0.0013
163017.899319514,0.9964,0.0008
65994.7679789724,0.997,0.0006
