rate_SHMS,yieldRel_COIN_track,uncern_yieldRel_COIN_track
209474.582570941,0.99282655931478,0.012543920673289
208736.730854981,0.996248509146978,0.012435842337035
209851.844215586,1.00330828581074,0.012309981541828
209511.141111899,0.996172136600543,0.011892657393956
106925.896332739,0.995261362814336,0.004514372783719
53811.8772212335,1.0019148654086,0.003297142878609
53747.1327027002,0.997578522686289,0.003054384293719
32427.55484674,0.993332338488036,0.001762754547198
32418.1553310503,1.00639978315765,0.0020662126034
32365.2837578113,1,0.002270496544944
159450.980882321,1.0062317539512,0.010073878999053
159067.59302292,0.996199609174171,0.007526678858037
80460.5705773747,0.996050730226148,0.003450993041353
