rate_COIN,CoinBlocking_Corr,CoinBlockUncer
1073.00520124997,0.982646614976323,0.00422526613698
691.70362440531,0.986370174098252,0.003608764260949
683.218306001109,0.986803635256482,0.003584836082002
408.153991166609,0.989824661771515,0.002957037997142
64.5995398017645,0.996427322620369,0.001737999010575
64.8422072269729,0.996239017462819,0.001715953543798
64.748292004236,0.996744721561871,0.001659048386932
64.8436782990156,0.996330595841342,0.001637462268528
1085.43234798618,0.982765583942745,0.004334972008955
699.867397792503,0.986274937778708,0.00376435407238
416.411229807669,0.989367048381316,0.003051236455172
