rate_HMS,HMS_track,HMS_track_uncern
369100.599453376,0.9956,0.0003
297853.264842348,0.9953,0.0004
295315.509100078,0.9956,0.0005
227585.234215219,0.9965,0.0003
78450.1690546204,0.9963,0.0002
78371.2004032679,0.9965,0.0002
78439.891077042,0.9964,0.0003
78261.4027970232,0.9964,0.0002
368769.03221226,0.9953,0.0004
298381.133352148,0.9953,0.0004
229211.27371253,0.9957,0.0004
