rate_SHMS,yieldRel_COIN_track,uncern_yieldRel_COIN_track
270301.521547012,0.978840887659051,0.005475713190533
211668.25554174,0.979007172910243,0.004708915631936
210000.592420234,0.994163118149533,0.004968634627226
157248.580139294,0.977742891686628,0.003809278778385
51010.7494341283,0.994129387931777,0.00241618740584
50982.4413891045,0.981690754008476,0.002436033057099
51082.7348732704,0.987351484994914,0.002314148495056
50944.2212400974,1,0.002330226688399
270811.06805207,0.969050210546014,0.005701217870934
212505.841825892,0.977152748244203,0.004921009106931
158651.716879418,0.98300125492327,0.004011742756205
