H_S1X,HMS_track,HMS_track_uncern
196910.250404281,0.995,0.0003
197294.347641413,0.9954,0.0005
197675.809797895,0.9945,0.0015
197324.448826014,0.995,0.0005
198404.382895171,0.9951,0.0003
244702.959636065,0.995,0.0004
148270.515768214,0.9957,0.0006
149056.939983929,0.9952,0.0003
99986.1044430522,0.9957,0.0002
60551.4917694003,0.9957,0.0002
318010.487240669,0.994,0.0004
247698.194748661,0.994,0.0006
